op,ACTION,RESOURCE,MGR_ID,ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE,u_uid,r_rid
read,1,27416,88656,117961,118300,117941,123067,117906,117887,117888,0,0
read,1,74754,46557,117961,117962,120016,123067,133686,118504,132694,1,1
read,1,20299,55667,117961,118225,120663,127108,143818,290919,117908,2,2
read,1,19998,222415,118315,118300,118862,119587,160903,118363,128424,3,3
read,1,34832,3509,117961,118327,120299,123045,174445,270488,120099,4,4
read,0,27124,60823,117961,118225,124921,118523,117906,118331,119589,5,5
read,1,278393,23347,117961,118300,119181,119587,168896,118424,118399,7,7
read,1,32270,77533,117961,118343,119796,123045,127922,120518,123047,8,8
read,1,1003,24017,91261,118300,117941,118321,117906,290919,118322,10,9
read,1,75901,2698,117961,117962,123719,118321,117906,290919,118322,11,10
read,1,33626,28275,119170,119171,121108,118530,146705,117887,117888,12,11
read,1,78591,16808,117961,117962,119019,133111,240983,118504,118322,14,13
read,1,5173,5739,117961,118225,121169,119928,127475,118331,118892,15,14
read,1,42031,3785,118315,118463,118378,117899,208235,19721,125753,16,15
read,1,31825,52687,117961,118225,127155,117905,240983,290919,122271,17,16
read,1,19998,31000,117961,118124,117884,124576,303333,290919,118322,18,3
read,1,14354,5127,118106,118257,118529,124313,131288,292795,125800,19,17
read,1,14570,75182,91261,118026,119362,118321,117906,119006,118322,20,18
read,1,28294,58711,117961,118300,118631,118636,118448,118638,118639,21,19
read,1,13878,73591,117961,118446,117884,123067,117906,290919,118322,22,20
read,1,80169,23200,119170,119171,118464,129229,301124,308574,118486,23,21
read,1,33147,2074,117961,118300,125872,120647,127778,118398,120649,24,6
read,1,13878,2363,117961,118300,117941,118568,117906,19721,118570,25,20
read,1,75834,57818,117961,118300,117941,118321,117906,290919,118322,26,22
read,1,4675,17815,117961,118327,120663,123045,223125,270488,120099,27,23
read,1,79092,7284,117961,118343,120312,118685,128578,118424,118425,28,24
read,1,105803,23111,117961,119597,120054,157300,120002,118398,119951,29,25
read,1,20897,17903,117961,118225,223958,118702,119263,120518,120519,30,26
read,1,23096,3509,117961,118327,118042,118043,223125,270488,118046,31,27
read,1,28315,7081,117961,117969,118896,120773,188138,118453,124801,32,28
read,1,20299,18753,117961,118225,118403,124152,117906,118960,124154,33,2
read,1,13878,4008,117961,118225,118403,128230,242737,4673,121395,34,20
read,1,34924,6657,117961,118266,131159,118784,180629,290919,117973,35,29
read,1,6977,48456,117961,117962,118957,127782,130777,118474,131851,37,30
read,1,19998,2270,117961,118300,119598,119786,133686,118424,120499,38,3
read,1,34950,15416,117961,118225,118403,307024,129910,118704,126186,39,31
read,1,23921,71203,117961,117962,118910,119743,240983,118504,123672,40,32
read,1,17183,120113,117961,117962,120663,146249,149667,4673,121596,41,33
read,1,18418,12611,117961,118386,123844,179731,158413,118704,118961,42,34
read,1,28294,51342,117961,118300,118631,119587,131694,118398,118892,43,19
read,1,3853,50610,117961,118225,120126,118834,118040,118424,122190,44,35
read,1,75078,58454,117961,118386,118522,118536,131998,118736,118539,45,36
read,1,41758,1949,117961,118413,120126,118530,130382,4673,122069,46,37
read,1,16373,4588,119170,119256,118535,118194,150275,119788,118373,48,39
read,1,6725,20126,117961,118225,119136,119137,310016,270488,123047,49,40
read,1,42093,96511,117961,118343,120671,153957,122142,19721,120774,50,41
read,1,42093,20096,117961,118343,120671,117905,161026,118960,117908,51,41
read,1,6725,53247,117961,118343,117884,212192,128361,117887,117880,53,40
read,1,6977,87820,117961,118300,119181,118568,150886,290919,124421,54,30
read,1,40867,91412,118212,118213,118514,117905,240983,290919,117908,55,43
read,1,20226,49024,118315,118463,123472,118278,161813,290919,127848,56,44
read,1,14570,4721,91261,118026,118810,118321,173333,290919,118322,57,18
read,1,75834,1531,117961,118178,121176,119849,138898,3130,123402,58,22
read,1,35498,13828,117961,117960,118450,119192,124626,119184,118454,59,45
read,1,3853,27862,117902,118225,120671,120516,223125,120518,120519,60,35
read,1,1020,123520,117882,118096,117884,117885,147163,19721,117888,61,46
read,1,75834,16972,117932,120216,118911,118912,118148,118131,152310,63,22
read,1,4675,6775,117961,118300,117884,118321,117906,290919,118322,64,23
read,1,7543,29582,117961,118343,120663,123045,128571,120518,123047,65,48
read,1,81044,78428,118212,118213,120663,120313,160106,19721,117908,66,49
read,1,13878,9384,117961,118300,117941,118054,118448,290919,118322,67,20
read,1,917,50604,117961,118300,118631,118826,285236,118424,124578,68,50
read,1,33147,22873,117961,119070,117945,280788,190841,292795,119082,69,6
read,1,42093,55038,118212,118213,120671,117905,117906,290919,117908,70,41
read,1,19310,20583,117961,118225,120126,117905,117906,4673,119951,72,51
read,1,1003,2109,117961,118300,117941,118321,117897,290919,118322,73,9
read,1,73144,20899,117961,118343,118437,118536,263702,118363,118055,74,52
read,1,1020,59002,117961,118225,117912,118523,130735,118331,118525,76,46
read,1,1151,13418,117961,117962,118437,122551,137489,121069,121471,77,54
read,1,4675,60941,118000,118085,117884,118321,117906,290919,117880,78,23
read,0,79092,4545,124034,118225,118008,123045,119489,19721,117880,79,24
read,1,25993,7738,117961,118300,117884,118321,117906,290919,118322,80,55
read,1,3853,74076,117961,118225,118403,117905,131160,118960,149918,81,35
read,1,39342,82603,118216,118257,131303,137370,269024,19793,119174,82,56
read,0,21826,21640,117961,117962,118320,118321,190710,290919,117880,83,57
read,1,6977,20908,117902,118213,120535,131849,120324,119095,119067,84,30
read,1,33147,85475,118752,119070,118754,280788,127525,292795,119082,85,6
read,1,917,73840,117961,118300,118631,118321,240983,290919,118322,86,50
read,1,23127,12921,117961,117962,122215,120952,264384,118643,119851,87,58
read,1,42093,94919,117961,118225,118810,118674,184350,19793,119900,88,41
read,1,34832,70598,118315,118463,117878,118685,135741,308574,126685,89,4
read,1,17183,40006,117961,118225,120671,157300,124498,118331,127702,90,33
read,1,73144,16802,117961,118300,118514,118784,130134,118453,118749,91,52
read,1,278393,1350,117961,118300,120551,188046,117906,118424,118525,93,7
read,1,29304,58954,117961,117969,121951,120132,309981,119221,118332,94,59
read,1,42093,60181,117961,118386,132530,132692,130707,118870,169635,95,41
read,1,28294,98198,117961,118300,118631,118784,117906,290919,118786,96,19
read,1,14570,3499,118000,117903,117884,117885,126373,117887,117888,98,18
read,1,37651,16842,117961,118300,120270,118674,123202,118960,126870,99,61
read,1,40867,52898,117961,118225,118507,117905,117906,117887,117908,100,43
read,1,75901,5535,117961,117962,118229,130606,240983,290919,117908,101,10
read,1,4675,22354,117961,118327,118518,123045,122554,118960,120099,102,23
read,1,13878,4721,117961,118954,117941,117885,168896,19721,117880,103,20
read,1,25241,30531,118185,118327,123125,118321,118176,290919,118322,104,62
read,1,4675,56125,117961,118052,118783,118321,117906,290919,118322,105,23
read,0,7543,6196,117961,118300,118783,118321,117906,249618,118055,106,48
read,1,77178,2698,117961,117962,121617,118321,240983,290919,118322,107,63
read,1,73144,41537,118212,118300,118631,118636,290919,290919,118639,108,52
read,0,20299,350,117916,118121,117941,118321,117906,19721,117880,109,2
read,1,4675,4589,117961,118225,118575,119849,134311,118638,153895,110,23
read,1,32270,50185,117961,117962,118910,118568,118959,118347,120315,111,8
read,1,75915,3023,119170,119171,129128,123684,137119,119095,124315,112,64
read,1,13878,33884,118555,118327,119019,120348,118260,290919,124888,114,20
read,1,33147,85475,118582,119256,118360,118465,180051,118424,118425,115,6
read,1,25241,30520,117961,118225,118403,117905,143829,290919,117908,116,62
read,1,78716,28275,119170,118170,6725,130479,120991,119788,122033,117,65
read,1,75834,112304,117961,118343,118921,118321,117906,290919,118322,118,22
read,1,4675,12914,118602,118603,117941,117885,117906,290919,118322,119,23
read,1,20299,41531,117961,118225,123089,117905,117906,290919,117908,120,2
read,1,73144,16802,117961,118300,119181,135123,240983,118424,159789,121,52
read,1,42093,3685,117961,118300,118631,121469,166580,118424,135742,122,41
read,1,20292,46479,91261,118026,119507,118321,123107,290919,118322,123,66
read,1,79092,8622,117961,118316,117884,118321,117906,290919,118322,124,24
read,1,42093,7339,117902,118386,121667,117905,226262,290919,119079,125,41
read,1,21443,5312,117961,118386,118862,118368,237596,19793,120359,126,67
read,0,42093,58648,118212,118213,131067,134655,238239,118424,117908,127,41
read,1,38972,85725,118315,118463,117878,122952,124376,290919,127848,128,68
read,0,42093,41801,118212,118213,117878,121015,117906,118638,117908,129,41
read,1,7543,28890,117961,118225,119223,120516,170665,120518,123047,130,48
read,1,78591,52687,117961,117962,118352,146249,240983,290919,120580,131,13
read,1,14570,70078,118315,118463,117878,117899,155173,19721,126295,132,18
read,1,42093,33266,117961,118225,118507,118523,127423,118638,118803,134,41
read,1,45444,123427,117961,118300,123719,118321,240983,290919,118322,135,69
read,1,33147,85475,118169,119597,118552,118685,231633,308574,118687,136,6
read,1,1020,7743,117961,118300,121216,125793,194960,308574,120649,137,46
read,1,81524,3756,117961,117976,122938,126184,143193,118453,120814,138,70
read,1,35376,71962,117961,118300,139677,117905,186208,118453,132673,140,72
read,1,14570,21844,117961,118446,117884,117885,117906,117887,118055,141,18
read,1,35498,98025,117961,118257,118378,280788,135233,292795,119082,142,45
read,1,971,1547,117961,117962,118979,119192,118448,290919,118279,143,73
read,1,5173,4704,117961,119256,117920,118734,146968,118474,119067,144,14
read,1,4675,53131,117961,118300,117941,117885,117906,290919,118322,146,23
read,1,75834,16972,117961,118300,117941,118321,118448,290919,118322,147,22
read,1,39333,151425,117961,118300,118631,118321,117906,290919,118322,149,75
read,1,1020,225257,118200,117981,123719,259173,209876,19721,118639,150,46
read,1,35790,5413,117961,117962,6725,123737,132732,119221,120315,151,76
read,1,3853,168,117961,117962,118501,117905,240983,118424,120315,152,35
read,1,20299,14336,118212,118213,121176,117905,117906,290919,117908,153,2
read,1,79121,18085,117961,118225,121108,128230,117906,4673,117908,154,77
read,1,1003,5054,117961,118551,118933,118784,303111,292795,126685,155,9
read,1,42093,27911,118212,118213,120663,117905,117906,290919,117908,156,41
read,1,20299,6792,118212,117903,118403,117905,117906,290919,117908,157,2
read,1,42093,57226,117961,118225,120663,117905,240983,290919,117908,158,41
read,1,74754,74428,117961,117962,119598,133718,160903,290919,117908,159,1
read,1,19998,85101,117961,117962,118910,118568,118959,19721,123672,160,3
read,1,32270,12986,117961,118343,120356,117905,240983,290919,117908,162,8
